species_taxon	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2	zclean_wastewater
Acinetobacter sp. SCLZS86	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter sp. SH20PTE14	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter sp. SWBY1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TAC-1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TGL-Y2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TR11	1	1	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter sp. TR3	2	2	8	11	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4
Acinetobacter sp. WCHA45	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter sp. WCHA55	1	1	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter sp. WCHAc010034	33	34	440	432	44	41	0	0	0	0	0	0	0	0	0	0	0	0	68
Acinetobacter sp. WY4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. XH1801	5	5	38	33	20	20	7	0	0	0	0	0	0	0	0	0	0	0	10
Acinetobacter sp. YH12138	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. YT-02	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter sp. YWS30-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter sp. Z1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter terrestris	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter thermotolerans	1	1	12	10	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter towneri	7	6	15	13	3	2	26	25	0	0	0	0	0	0	0	0	0	0	13
Acinetobacter ursingii	3	3	16	10	6	4	0	0	0	0	0	0	0	0	0	0	0	0	6
Acinetobacter variabilis	0	2	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
