cluster	category	count	fraction
0	bacteria	2	0.125
0	other	11	0.6875
0	virus	3	0.1875
1	bacteria	3	0.75
1	other	1	0.25
2	bacteria	1	0.2
2	other	4	0.8
3	bacteria	1	0.5
3	other	1	0.5
4	bacteria	1	0.3333333333333333
4	other	2	0.6666666666666666
5	bacteria	1	0.2
5	other	4	0.8
6	bacteria	1	0.25
6	other	3	0.75
